Device ID,Build Date,Cookie Ver,Session ID,Play Mode,Language,Event ID,Time Taken,Result,Age,Session Total Time,Total Correct,Total Wrong
EYODV719,2015-04-02,13,J2WQD,play all,kn-in,2A_Length,00:01:57,Incorrect,8,00:26:31,2,7
EYODV719,2015-04-02,13,J2WQD,play all,kn-in,2B_Patterns,00:03:35,Incorrect,8,00:26:31,2,7
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,T_Tutorial,00:00:31,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,T2_Tutorial,00:00:12,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,1A_Premath,00:01:21,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,1B_Premath,00:02:06,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,1C_Order_By_Size,00:01:55,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,1D_Premath,00:00:22,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,1E_Premath,00:00:50,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,2A_Length,00:01:19,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,2B_Patterns,00:01:06,Incorrect,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,2C_Length,00:00:34,Incorrect,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,2D_Number_Sense,00:00:22,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,2E_Add_Subtract,00:00:49,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,3A_Number_Sense,00:01:09,Incorrect,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,3B_Patterns,00:00:55,Incorrect,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,3C_Add_Subtract,00:00:58,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,3D_Weight,00:03:22,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,4A_Number_Sense,00:00:50,Incorrect,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,4B_Length,00:00:36,Incorrect,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,4C_Data_Handling,00:01:19,Incorrect,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,4D_Time,00:00:34,Correct,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,5A_Data_Handling,00:00:45,Incorrect,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,5B_Multiplication,00:01:07,Incorrect,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,5C_Fractions,00:00:54,Incorrect,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,6A_Operations,00:00:29,Incorrect,9,00:34:53,13,12
WCI4UI9H,2015-04-02,13,1UEID,play all,kn-in,6B_Fractions,00:01:48,Incorrect,9,00:34:53,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,T_Tutorial,00:00:18,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,T2_Tutorial,00:00:15,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,1A_Premath,00:00:55,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,1B_Premath,00:00:56,Incorrect,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,1C_Order_By_Size,00:00:32,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,1D_Premath,00:00:12,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,1E_Premath,00:00:26,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,2A_Length,00:00:35,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,2B_Patterns,00:00:43,Incorrect,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,2C_Length,00:00:28,Incorrect,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,2D_Number_Sense,00:00:16,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,2E_Add_Subtract,00:00:32,Incorrect,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,3A_Number_Sense,00:00:33,Incorrect,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,3B_Patterns,00:00:20,Incorrect,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,3C_Add_Subtract,00:00:40,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,3D_Weight,00:01:10,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,4A_Number_Sense,00:00:38,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,4B_Length,00:00:29,Incorrect,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,4C_Data_Handling,00:01:04,Incorrect,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,4D_Time,00:00:34,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,5A_Data_Handling,00:00:52,Correct,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,5B_Multiplication,00:00:46,Incorrect,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,5C_Fractions,00:00:45,Incorrect,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,6A_Operations,00:00:32,Incorrect,12,00:16:36,13,12
6LMMX752,2015-04-02,13,XHFUC,play all,kn-in,6B_Fractions,00:00:45,Incorrect,12,00:16:36,13,12
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,T_Tutorial,00:00:47,Correct,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,T2_Tutorial,00:00:23,Correct,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,1A_Premath,00:01:06,Correct,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,1B_Premath,00:00:38,Incorrect,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,1C_Order_By_Size,00:00:54,Incorrect,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,1D_Premath,00:00:19,Correct,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,1E_Premath,00:00:52,Correct,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,2A_Length,00:00:39,Correct,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,2B_Patterns,00:00:45,Incorrect,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,2C_Length,00:00:33,Correct,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,2D_Number_Sense,00:00:48,Correct,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,2E_Add_Subtract,00:00:34,Incorrect,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,3A_Number_Sense,00:00:43,Incorrect,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,3B_Patterns,00:00:38,Incorrect,10,00:21:27,10,15
80GXJG8W,2015-04-02,13,HYHCE,play all,kn-in,3C_Add_Subtract,00:00:35,Incorrect,10,00:21:27,10,15
